"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"9/20/2022","External Withdrawal USBANK LOAN - PAYMENT NTE*SPH*ACCT x5808 EFFECTIVE 09/18","External Withdrawal USBANK LOAN - PAYMENT NTE*SPH*ACCT x5808 EFFECTIVE 09/18","207.31","debit","Auto Payment","Joint Checking Account","",""
"9/19/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","2.99","debit","Transfer","Joint Checking Account","",""
"9/19/2022","Murphy Express","Point Of Sale Withdrawal MURPHY EXPRESS 4448 SUNSET BLVD LEXINGTON SCUS","39.00","debit","Gas & Fuel","Joint Checking Account","",""
"9/19/2022","External Withdrawal STATE FARM RO 27 - SFPP","External Withdrawal STATE FARM RO 27 - SFPP","304.26","debit","Auto Insurance","Joint Checking Account","",""
"9/18/2022","Point Of Sale Withdrawal PROJECT FRANKS - #6303-079-9009 SCUS","Point Of Sale Withdrawal PROJECT FRANKS - #6303-079-9009 SCUS","40.00","debit","Charity","Joint Checking Account","",""
"9/17/2022","Costco","Point Of Sale Withdrawal COSTCO WHSE #1232 COLUMBIA SCUS","128.73","debit","Groceries Costco","Joint Checking Account","",""
"9/17/2022","Point Of Sale Withdrawal OLE TIMEY MEAT 6352 ST ANDREWS RD COLUMBIA SCUS","Point Of Sale Withdrawal OLE TIMEY MEAT 6352 ST ANDREWS RD COLUMBIA SCUS","65.81","debit","Groceries","Joint Checking Account","",""
"9/17/2022","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","185.76","debit","Groceries","Joint Checking Account","",""
"9/17/2022","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","202.00","debit","Babysitter & Daycare","Joint Checking Account","",""
"9/16/2022","Withdrawal Internet Transfer to *9511 CK","Withdrawal Internet Transfer to *9511 CK","40.00","debit","Transfer","Joint Checking Account","",""
"9/16/2022","Chick-Fil-A","Point Of Sale Withdrawal CHICK-FIL-A #03138 803-356-1635 SCUS","26.91","debit","Entertainment","Joint Checking Account","",""
"9/15/2022","Chick-Fil-A","Point Of Sale Withdrawal CHICK-FIL-A #03138 803-356-1635 SCUS","9.43","debit","Entertainment","Joint Checking Account","",""
"9/15/2022","Descriptive Deposit Mobile Deposit","Descriptive Deposit Mobile Deposit","145.63","credit","Transfer","Joint Checking Account","",""
"9/14/2022","Point Of Sale Withdrawal Prime Video*1F4A64R888-802-3080 WAUS","Point Of Sale Withdrawal Prime Video*1F4A64R888-802-3080 WAUS","10.69","debit","Movies & DVDs","Joint Checking Account","",""
"9/14/2022","Point Of Sale Withdrawal DISCOUNT TIRE SC 50LEXINGTON SCUS","Point Of Sale Withdrawal DISCOUNT TIRE SC 50LEXINGTON SCUS","107.26","debit","Service & Parts","Joint Checking Account","",""
"9/13/2022","External Withdrawal CAPITAL ONE AUTO - DIRECTPAY","External Withdrawal CAPITAL ONE AUTO - DIRECTPAY","452.11","debit","Auto Payment","Joint Checking Account","",""
"9/13/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","9.99","debit","Transfer","Joint Checking Account","",""
"9/12/2022","External Withdrawal WOFCSET - AUTO LOAN","External Withdrawal WOFCSET - AUTO LOAN","242.64","debit","Auto Payment","Joint Checking Account","",""
"9/12/2022","Amazon","External Withdrawal AMZ_STORECRD_PMT - PAYMENT","400.00","debit","Amazon","Joint Checking Account","",""
"9/12/2022","Murphy Express","Point Of Sale Withdrawal MURPHY EXPRESS 8684LEXINGTON SCUS","25.17","debit","Gas & Fuel","Joint Checking Account","",""
"9/11/2022","Point Of Sale Withdrawal LOWES FOODS #267 LEXINGTON SCUS","Point Of Sale Withdrawal LOWES FOODS #267 LEXINGTON SCUS","32.15","debit","Shopping","Joint Checking Account","",""
"9/11/2022","Costco","Point Of Sale Withdrawal COSTCO WHSE #1232 COLUMBIA SCUS","180.79","debit","Groceries Costco","Joint Checking Account","",""
"9/11/2022","Point Of Sale Withdrawal QT 1181 OUTSIDE ORANGEBURG SCUS","Point Of Sale Withdrawal QT 1181 OUTSIDE ORANGEBURG SCUS","124.17","debit","Gas & Fuel","Joint Checking Account","",""
"9/11/2022","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","65.20","debit","Groceries","Joint Checking Account","",""
"9/11/2022","Point Of Sale Withdrawal TRADER JOE'S.#7 4516 FOREST DR COLUMBIA SCUS","Point Of Sale Withdrawal TRADER JOE'S.#7 4516 FOREST DR COLUMBIA SCUS","98.55","debit","Groceries","Joint Checking Account","",""
"9/10/2022","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","170.00","debit","Babysitter & Daycare","Joint Checking Account","",""
"9/09/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","16.33","debit","Transfer","Joint Checking Account","",""
"9/09/2022","Point Of Sale Withdrawal CIRCLE K # 06779 COLUMBIA SCUS","Point Of Sale Withdrawal CIRCLE K # 06779 COLUMBIA SCUS","59.64","debit","Gas & Fuel","Joint Checking Account","",""
"9/09/2022","Murphy Express","Point Of Sale Withdrawal MURPHY EXPRESS 8684LEXINGTON SCUS","62.23","debit","Gas & Fuel","Joint Checking Account","",""
"9/08/2022","Point Of Sale Deposit RECREATION.GOV ALBUQUERQUE NMUS","Point Of Sale Deposit RECREATION.GOV ALBUQUERQUE NMUS","30.00","credit","Transfer","Joint Checking Account","",""
"9/08/2022","Deposit Internet Transfer from *9503 CK","Deposit Internet Transfer from *9503 CK","1594.00","credit","Transfer","Joint Checking Account","",""
"9/08/2022","Point Of Sale Deposit RECREATION.GOV ALBUQUERQUE NMUS","Point Of Sale Deposit RECREATION.GOV ALBUQUERQUE NMUS","46.00","credit","Transfer","Joint Checking Account","",""
"9/08/2022","Deposit Internet Transfer from *9511 CK","Deposit Internet Transfer from *9511 CK","2800.00","credit","Transfer","Joint Checking Account","",""
"9/08/2022","Point Of Sale Withdrawal PUBLIX LEXINGTON SCUS","Point Of Sale Withdrawal PUBLIX LEXINGTON SCUS","72.40","debit","Groceries","Joint Checking Account","",""
"9/06/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","5.34","debit","Transfer","Joint Checking Account","",""
"9/06/2022","External Withdrawal ATT - Payment","External Withdrawal ATT - Payment","290.58","debit","Home Phone","Joint Checking Account","",""
"9/06/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","90.14","debit","Transfer","Joint Checking Account","",""
"9/06/2022","Check SERIAL #: 2557","Check SERIAL #: 2557","41.00","debit","Charity","Joint Checking Account","",""
"9/06/2022","Chick-Fil-A","Point Of Sale Withdrawal CHICK-FIL-A #04378 999-999-9999 NCUS","18.04","debit","Entertainment","Joint Checking Account","",""
"9/06/2022","Point Of Sale Withdrawal I MARKET #731 ASHEVILLE NCUS","Point Of Sale Withdrawal I MARKET #731 ASHEVILLE NCUS","66.93","debit","Groceries","Joint Checking Account","",""
"9/05/2022","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","136.01","debit","Groceries","Joint Checking Account","",""
"9/04/2022","Point Of Sale Withdrawal SMOKEMONT RIDING STCHEROKEE NCUS","Point Of Sale Withdrawal SMOKEMONT RIDING STCHEROKEE NCUS","165.60","debit","Restaurants","Joint Checking Account","",""
"9/04/2022","Point Of Sale Withdrawal SHELL OIL x4993MAGGIE VALLEY NCUS","Point Of Sale Withdrawal SHELL OIL x4993MAGGIE VALLEY NCUS","100.00","debit","Gas & Fuel","Joint Checking Account","",""
"9/03/2022","Point Of Sale Withdrawal PUBLIX WAYNESVILLE NCUS","Point Of Sale Withdrawal PUBLIX WAYNESVILLE NCUS","33.62","debit","Groceries","Joint Checking Account","",""
"9/03/2022","Chick-Fil-A","Point Of Sale Withdrawal CHICK-FIL-A #03138 803-356-1635 SCUS","10.81","debit","Entertainment","Joint Checking Account","",""
"9/03/2022","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","170.00","debit","Babysitter & Daycare","Joint Checking Account","",""
"9/03/2022","Murphy Express","Point Of Sale Withdrawal MURPHY EXPRESS 8684LEXINGTON SCUS","106.17","debit","Gas & Fuel","Joint Checking Account","",""
"9/02/2022","Point Of Sale Withdrawal AMZNFreeTime*ZC3H21888-802-3080 WAUS","Point Of Sale Withdrawal AMZNFreeTime*ZC3H21888-802-3080 WAUS","5.29","debit","Entertainment","Joint Checking Account","",""
"9/02/2022","Point Of Sale Withdrawal Prime Video*0I5JO0B888-802-3080 WAUS","Point Of Sale Withdrawal Prime Video*0I5JO0B888-802-3080 WAUS","8.55","debit","Movies & DVDs","Joint Checking Account","",""
"9/01/2022","Point Of Sale Withdrawal Walmart.com Bentonville ARUS","Point Of Sale Withdrawal Walmart.com Bentonville ARUS","92.58","debit","Shopping","Joint Checking Account","",""
"9/01/2022","Point Of Sale Withdrawal CAROLINA AQUATICS WWW.TEAMUNIFY SCUS","Point Of Sale Withdrawal CAROLINA AQUATICS WWW.TEAMUNIFY SCUS","360.83","debit","Kids Activities","Joint Checking Account","",""
"9/01/2022","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","109.16","debit","Groceries","Joint Checking Account","",""
"9/01/2022","Deposit Internet Transfer from *9511 CK","Deposit Internet Transfer from *9511 CK","500.00","credit","Transfer","Joint Checking Account","",""
"8/30/2022","External Withdrawal CAPITAL ONE AUTO - DIRECTPAY","External Withdrawal CAPITAL ONE AUTO - DIRECTPAY","452.11","debit","Auto Payment","Joint Checking Account","",""
"8/30/2022","Deposit Internet Transfer from *9496 SAV","Deposit Internet Transfer from *9496 SAV","200.00","credit","Transfer","Joint Checking Account","",""
"8/29/2022","Point Of Sale Withdrawal JOSTENS INC. 800-854-7464 MNUS","Point Of Sale Withdrawal JOSTENS INC. 800-854-7464 MNUS","67.69","debit","Entertainment","Joint Checking Account","",""
"8/29/2022","Point Of Sale Withdrawal SP SWIMOUTLET.COM HTTPSWWW.SWIM CAUS","Point Of Sale Withdrawal SP SWIMOUTLET.COM HTTPSWWW.SWIM CAUS","93.25","debit","Sporting Goods","Joint Checking Account","",""
"8/29/2022","External Withdrawal PAYPAL x0826PPZ1P6 - INST XFER","External Withdrawal PAYPAL x0826PPZ1P6 - INST XFER","12.54","debit","Transfer","Joint Checking Account","",""
"8/29/2022","External Withdrawal WF PL CC PAYMENT - PAYMENT","External Withdrawal WF PL CC PAYMENT - PAYMENT","300.00","debit","Credit Card Payment","Joint Checking Account","",""
"8/29/2022","External Withdrawal DOMINION ENERGY - DRAFT","External Withdrawal DOMINION ENERGY - DRAFT","283.84","debit","Utilities","Joint Checking Account","",""
"8/29/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","14.03","debit","Transfer","Joint Checking Account","",""
"8/28/2022","Point Of Sale Withdrawal SQ *SKY TOP ORCHARDZirconia NCUS","Point Of Sale Withdrawal SQ *SKY TOP ORCHARDZirconia NCUS","36.00","debit","Restaurants","Joint Checking Account","",""
"8/27/2022","Point Of Sale Withdrawal INSTACART*159 HTTPSINSTACAR CAUS","Point Of Sale Withdrawal INSTACART*159 HTTPSINSTACAR CAUS","151.78","debit","Groceries","Joint Checking Account","",""
"8/27/2022","Point Of Sale Withdrawal OLE TIMEY MEAT 6352 ST ANDREWS RD COLUMBIA SCUS","Point Of Sale Withdrawal OLE TIMEY MEAT 6352 ST ANDREWS RD COLUMBIA SCUS","62.00","debit","Groceries","Joint Checking Account","",""
"8/27/2022","Point Of Sale Withdrawal TRADER JOE'S.#7 4516 FOREST DR COLUMBIA SCUS","Point Of Sale Withdrawal TRADER JOE'S.#7 4516 FOREST DR COLUMBIA SCUS","111.93","debit","Groceries","Joint Checking Account","",""
"8/27/2022","Point Of Sale Withdrawal CIRCLE K # 06779 COLUMBIA SCUS","Point Of Sale Withdrawal CIRCLE K # 06779 COLUMBIA SCUS","45.83","debit","Gas & Fuel","Joint Checking Account","",""
"8/27/2022","Point Of Sale Withdrawal REI #178 COLUMB 2300 BULL STREET COLUMBIA SCUS","Point Of Sale Withdrawal REI #178 COLUMB 2300 BULL STREET COLUMBIA SCUS","496.85","debit","Sporting Goods","Joint Checking Account","",""
"8/27/2022","Costco","Point Of Sale Withdrawal COSTCO WHSE #1232 COLUMBIA SCUS","167.07","debit","Groceries Costco","Joint Checking Account","",""
"8/27/2022","Withdrawal Internet Transfer to *1171 MTG","Withdrawal Internet Transfer to *1171 MTG","1000.00","debit","Transfer","Joint Checking Account","",""
"8/27/2022","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","170.00","debit","Babysitter & Daycare","Joint Checking Account","",""
"8/26/2022","Point Of Sale Withdrawal NIC*-COUNTY OF LEXIEGOV.COM SCUS","Point Of Sale Withdrawal NIC*-COUNTY OF LEXIEGOV.COM SCUS","1662.31","debit","Property Tax","Joint Checking Account","",""
"8/25/2022","Deposit Internet Transfer from *9503 CK","Deposit Internet Transfer from *9503 CK","1595.00","credit","Transfer","Joint Checking Account","",""
"8/25/2022","Point Of Sale Withdrawal WALGREENS STORE 611COLUMBIA SCUS","Point Of Sale Withdrawal WALGREENS STORE 611COLUMBIA SCUS","12.29","debit","Pharmacy","Joint Checking Account","",""
"8/25/2022","External Withdrawal CHASE CREDIT CRD - AUTOPAY","External Withdrawal CHASE CREDIT CRD - AUTOPAY","400.00","debit","Credit Card Payment","Joint Checking Account","",""
"8/25/2022","Deposit Internet Transfer from *9511 CK","Deposit Internet Transfer from *9511 CK","2962.00","credit","Transfer","Joint Checking Account","",""
"8/24/2022","Check SERIAL #: 2556","Check SERIAL #: 2556","28.00","debit","Charity","Joint Checking Account","",""
"8/22/2022","External Deposit PAYPAL TRANSFER - TRANSFER","External Deposit PAYPAL TRANSFER - TRANSFER","42.75","credit","Transfer","Joint Checking Account","",""
"8/22/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","6.48","debit","Transfer","Joint Checking Account","",""
"8/22/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","10.65","debit","Transfer","Joint Checking Account","",""
"8/21/2022","Murphy Express","Point Of Sale Withdrawal MURPHY EXPRESS 8684LEXINGTON SCUS","28.09","debit","Gas & Fuel","Joint Checking Account","",""
"8/21/2022","Murphy Express","Point Of Sale Withdrawal MURPHY EXPRESS 8684LEXINGTON SCUS","54.42","debit","Gas & Fuel","Joint Checking Account","",""
"8/21/2022","Point Of Sale Withdrawal USPS KIOSK x8095IRMO SCUS","Point Of Sale Withdrawal USPS KIOSK x8095IRMO SCUS","12.00","debit","Shipping","Joint Checking Account","",""
"8/21/2022","Murphy Express","Point Of Sale Withdrawal MURPHY EXPRESS 8684LEXINGTON SCUS","25.89","debit","Gas & Fuel","Joint Checking Account","",""
"8/21/2022","Point Of Sale Withdrawal RUSHS 3 WEST COLUMBIA SCUS","Point Of Sale Withdrawal RUSHS 3 WEST COLUMBIA SCUS","27.15","debit","Fast Food","Joint Checking Account","",""
"8/20/2022","Costco","Point Of Sale Withdrawal COSTCO WHSE #1232 COLUMBIA SCUS","4.38","debit","Groceries Costco","Joint Checking Account","",""
"8/20/2022","Costco","Point Of Sale Withdrawal COSTCO WHSE #1232 COLUMBIA SCUS","171.79","debit","Groceries Costco","Joint Checking Account","",""
"8/20/2022","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","237.98","debit","Groceries","Joint Checking Account","",""
"8/20/2022","Point Of Sale Withdrawal O'REILLY AUTO PARTSCOLUMBIA SCUS","Point Of Sale Withdrawal O'REILLY AUTO PARTSCOLUMBIA SCUS","16.88","debit","Service & Parts","Joint Checking Account","",""
"8/20/2022","Point Of Sale Withdrawal O'REILLY AUTO PARTSCOLUMBIA SCUS","Point Of Sale Withdrawal O'REILLY AUTO PARTSCOLUMBIA SCUS","141.15","debit","Service & Parts","Joint Checking Account","",""
"8/20/2022","Point Of Sale Withdrawal THE HOME DEPOT 5200FERNANDINA RD COLUMBIA SCUS","Point Of Sale Withdrawal THE HOME DEPOT 5200FERNANDINA RD COLUMBIA SCUS","23.52","debit","Home Improvement","Joint Checking Account","",""
"8/20/2022","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","170.00","debit","Babysitter & Daycare","Joint Checking Account","",""
"8/19/2022","External Withdrawal USBANK LOAN - PAYMENT NTE*SPH*ACCT x5808 EFFECTIVE 08/18","External Withdrawal USBANK LOAN - PAYMENT NTE*SPH*ACCT x5808 EFFECTIVE 08/18","207.31","debit","Auto Payment","Joint Checking Account","",""
"8/19/2022","Chick-Fil-A","Point Of Sale Withdrawal CHICK-FIL-A #03138 803-356-1635 SCUS","29.24","debit","Entertainment","Joint Checking Account","",""
"8/19/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","2.99","debit","Transfer","Joint Checking Account","",""
"8/18/2022","Point Of Sale Withdrawal PROJECT FRANKS - #6303-079-9009 SCUS","Point Of Sale Withdrawal PROJECT FRANKS - #6303-079-9009 SCUS","40.00","debit","Charity","Joint Checking Account","",""
"8/17/2022","External Withdrawal STATE FARM RO 27 - SFPP","External Withdrawal STATE FARM RO 27 - SFPP","304.26","debit","Auto Insurance","Joint Checking Account","",""
"8/16/2022","Point Of Sale Withdrawal ZAP*ZAPPOS.COM 800-927-7671 NVUS","Point Of Sale Withdrawal ZAP*ZAPPOS.COM 800-927-7671 NVUS","139.05","debit","Clothing","Joint Checking Account","",""
"8/16/2022","Point Of Sale Withdrawal IRMO CHAPIN REC CNP803-772-1228 SCUS","Point Of Sale Withdrawal IRMO CHAPIN REC CNP803-772-1228 SCUS","77.25","debit","Kids Activities","Joint Checking Account","",""
"8/16/2022","External Withdrawal CAPITAL ONE AUTO - DIRECTPAY","External Withdrawal CAPITAL ONE AUTO - DIRECTPAY","452.11","debit","Auto Payment","Joint Checking Account","",""
"8/16/2022","Point Of Sale Withdrawal SC PARK SERVICE 803-734-1778 SCUS","Point Of Sale Withdrawal SC PARK SERVICE 803-734-1778 SCUS","154.00","debit","Travel","Joint Checking Account","",""
"8/16/2022","Point Of Sale Withdrawal FLORIDA STATE PARKS850-245-2157 FLUS","Point Of Sale Withdrawal FLORIDA STATE PARKS850-245-2157 FLUS","111.33","debit","Amusement","Joint Checking Account","",""
"8/15/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","9.99","debit","Transfer","Joint Checking Account","",""
"8/15/2022","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","37.81","debit","Groceries","Joint Checking Account","",""
"8/14/2022","Point Of Sale Withdrawal THE HOME DEPOT 5200FERNANDINA RD COLUMBIA SCUS","Point Of Sale Withdrawal THE HOME DEPOT 5200FERNANDINA RD COLUMBIA SCUS","24.46","debit","Home Improvement","Joint Checking Account","",""
"8/14/2022","Point Of Sale Withdrawal Prime Video*9U4GV88888-802-3080 WAUS","Point Of Sale Withdrawal Prime Video*9U4GV88888-802-3080 WAUS","10.69","debit","Movies & DVDs","Joint Checking Account","",""
"8/14/2022","Costco","Point Of Sale Withdrawal COSTCO WHSE #1232 COLUMBIA SCUS","88.71","debit","Groceries Costco","Joint Checking Account","",""
"8/14/2022","Chick-Fil-A","Point Of Sale Withdrawal CHICK-FIL-A #03138 803-356-1635 SCUS","45.04","debit","Entertainment","Joint Checking Account","",""
"8/14/2022","Point Of Sale Withdrawal INSTACART*159 HTTPSINSTACAR CAUS","Point Of Sale Withdrawal INSTACART*159 HTTPSINSTACAR CAUS","84.13","debit","Groceries","Joint Checking Account","",""
"8/13/2022","Point Of Sale Withdrawal LITTLE CAESARS x6803-781-6004 SCUS","Point Of Sale Withdrawal LITTLE CAESARS x6803-781-6004 SCUS","13.06","debit","Restaurants","Joint Checking Account","",""
"8/13/2022","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","170.00","debit","Babysitter & Daycare","Joint Checking Account","",""
"8/12/2022","External Withdrawal WOFCSET - AUTO LOAN","External Withdrawal WOFCSET - AUTO LOAN","242.64","debit","Auto Payment","Joint Checking Account","",""
"8/12/2022","Chick-Fil-A","Point Of Sale Withdrawal CHICK-FIL-A #03138 803-356-1635 SCUS","35.90","debit","Entertainment","Joint Checking Account","",""
"8/11/2022","Deposit Internet Transfer from *9503 CK","Deposit Internet Transfer from *9503 CK","1541.00","credit","Transfer","Joint Checking Account","",""
"8/11/2022","Deposit Internet Transfer from *9511 CK","Deposit Internet Transfer from *9511 CK","2464.00","credit","Transfer","Joint Checking Account","",""
"8/11/2022","Amazon","External Withdrawal AMZ_STORECRD_PMT - PAYMENT","400.00","debit","Amazon","Joint Checking Account","",""
"8/11/2022","Check SERIAL #: 2555","Check SERIAL #: 2555","41.00","debit","Charity","Joint Checking Account","",""
"8/10/2022","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","127.27","debit","Groceries","Joint Checking Account","",""
"8/10/2022","Cassell Brothers He","Point Of Sale Withdrawal CASSELL BROTHERS HE803-x9669 SCUS","189.00","debit","Uncategorized","Joint Checking Account","",""
"8/09/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","124.32","debit","Transfer","Joint Checking Account","",""
"8/08/2022","Murphy Express","Point Of Sale Withdrawal MURPHY EXPRESS 8684LEXINGTON SCUS","123.50","debit","Gas & Fuel","Joint Checking Account","",""
"8/08/2022","Costco","Point Of Sale Withdrawal COSTCO WHSE #1232 COLUMBIA SCUS","281.41","debit","Groceries Costco","Joint Checking Account","",""
"8/08/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","29.32","debit","Transfer","Joint Checking Account","",""
"8/08/2022","Point Of Sale Withdrawal RUSHS 3 WEST COLUMBIA SCUS","Point Of Sale Withdrawal RUSHS 3 WEST COLUMBIA SCUS","32.47","debit","Fast Food","Joint Checking Account","",""
"8/07/2022","Point Of Sale Withdrawal SOUTHERNMED PEDIATRLEXINGTON SCUS","Point Of Sale Withdrawal SOUTHERNMED PEDIATRLEXINGTON SCUS","14.00","debit","Doctor","Joint Checking Account","",""
"8/07/2022","Point Of Sale Withdrawal WHALEYS EDISTO ISLAND SCUS","Point Of Sale Withdrawal WHALEYS EDISTO ISLAND SCUS","83.98","debit","Restaurants","Joint Checking Account","",""
"8/05/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","5.34","debit","Transfer","Joint Checking Account","",""
"8/05/2022","Murphy Express","Point Of Sale Withdrawal MURPHY EXPRESS 4873 AUGUSTA ROAD LEXINGTON SCUS","45.30","debit","Gas & Fuel","Joint Checking Account","",""
"8/05/2022","External Withdrawal ATT - Payment","External Withdrawal ATT - Payment","322.59","debit","Home Phone","Joint Checking Account","",""
"8/05/2022","Chick-Fil-A","Point Of Sale Withdrawal CHICK-FIL-A #03138 803-356-1635 SCUS","29.24","debit","Entertainment","Joint Checking Account","",""
"8/05/2022","Point Of Sale Withdrawal OLD MILL BREWPUB 803-x2337 SCUS","Point Of Sale Withdrawal OLD MILL BREWPUB 803-x2337 SCUS","21.35","debit","Restaurants","Joint Checking Account","",""
"8/04/2022","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","Point Of Sale Withdrawal PUBLIX COLUMBIA SCUS","147.63","debit","Groceries","Joint Checking Account","",""
"8/04/2022","Point Of Sale Withdrawal CAROLINA AQUATICS WWW.TEAMUNIFY SCUS","Point Of Sale Withdrawal CAROLINA AQUATICS WWW.TEAMUNIFY SCUS","103.45","debit","Kids Activities","Joint Checking Account","",""
"8/04/2022","Point Of Sale Withdrawal CAROLINA AQUATICS WWW.TEAMUNIFY SCUS","Point Of Sale Withdrawal CAROLINA AQUATICS WWW.TEAMUNIFY SCUS","51.98","debit","Kids Activities","Joint Checking Account","",""
"8/03/2022","Point Of Sale Deposit BOYD'S KEY WEST CAMKEY WEST FLUS","Point Of Sale Deposit BOYD'S KEY WEST CAMKEY WEST FLUS","157.50","credit","Transfer","Joint Checking Account","",""
"8/02/2022","Costco","Point Of Sale Withdrawal COSTCO WHSE #1232 COLUMBIA SCUS","87.82","debit","Groceries Costco","Joint Checking Account","",""
"8/02/2022","External Withdrawal CAPITAL ONE AUTO - DIRECTPAY","External Withdrawal CAPITAL ONE AUTO - DIRECTPAY","452.11","debit","Auto Payment","Joint Checking Account","",""
"8/02/2022","Point Of Sale Deposit FLORIDA STATE PARKSTALLAHASSEE FLUS","Point Of Sale Deposit FLORIDA STATE PARKSTALLAHASSEE FLUS","21.10","credit","Transfer","Joint Checking Account","",""
"8/02/2022","Point Of Sale Deposit FLORIDA STATE PARKSTALLAHASSEE FLUS","Point Of Sale Deposit FLORIDA STATE PARKSTALLAHASSEE FLUS","17.12","credit","Transfer","Joint Checking Account","",""
"8/02/2022","Point Of Sale Withdrawal AMZNFreeTime*IY4S16888-802-3080 WAUS","Point Of Sale Withdrawal AMZNFreeTime*IY4S16888-802-3080 WAUS","5.29","debit","Entertainment","Joint Checking Account","",""
"8/02/2022","Point Of Sale Withdrawal Prime Video*5E0Vx4888-802-3080 WAUS","Point Of Sale Withdrawal Prime Video*5E0Vx4888-802-3080 WAUS","8.55","debit","Movies & DVDs","Joint Checking Account","",""
"8/02/2022","External Withdrawal YMCAofColumbia PURCHASE x5226","External Withdrawal YMCAofColumbia PURCHASE x5226","79.00","debit","Gym","Joint Checking Account","",""
"8/01/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","98.84","debit","Transfer","Joint Checking Account","",""
"8/01/2022","Deposit Internet Transfer from *9511 CK","Deposit Internet Transfer from *9511 CK","500.00","credit","Transfer","Joint Checking Account","",""
"8/01/2022","Point Of Sale Withdrawal COSTCO GAS #1232 COLUMBIA SCUS","Point Of Sale Withdrawal COSTCO GAS #1232 COLUMBIA SCUS","56.87","debit","Gas & Fuel","Joint Checking Account","",""
"8/01/2022","Costco","Point Of Sale Withdrawal COSTCO WHSE #1232 COLUMBIA SCUS","63.58","debit","Groceries Costco","Joint Checking Account","",""
"8/01/2022","Murphy Express","Point Of Sale Withdrawal MURPHY EXPRESS 8684LEXINGTON SCUS","52.21","debit","Gas & Fuel","Joint Checking Account","",""
